No.,Indicators,Exceeds  Expectations,Meets  Expectations,"Approaches  
Expectations",Below Expectations
1,"Identify  the gram as a unit 
of measuring mass","Identifies the gram as a 
unit of measuring mass 
accurately and with ease","Identifies  the gram as 
a unit of measuring 
mass accurately","Inconsistently 
identifies  the gram as 
a unit of measuring 
mass","Little evidence in 
identifying  the gram 
as a unit of measuring 
mass"
2,Measure mass in grams,"Measures mass in grams 
accurately and with ease","Measures mass in 
grams accurately","Inconsistently 
measures mass in 
grams","Little evidence in 
measuring mass in 
grams"
3,"Estimate and measure 
mass in grams","Estimates and measures 
mass in grams 
accurately and with ease","Estimates and 
measures mass in 
grams accurately","Inconsistently 
estimates and measures mass in 
grams","Little evidence in 
estimating and measures mass in 
grams"
4,"Identify the relationship 
between the kilogram and 
the gram","Identifies the 
relationship between the 
kilogram and the gram 
accurately and with ease","Identifies the 
relationship between 
the kilogram and the 
gram accurately","Inconsistently 
identifies the 
relationship between 
the kilogram and the 
gram","Little evidence in 
identifying the 
relationship between 
the kilogram and the 
gram"
5,"Convert kilograms to 
grams and grams to 
kilograms","Converts kilograms to 
grams and grams to 
kilograms accurately 
and with ease","Converts  kilograms 
to grams and grams to 
kilograms accurately","Inconsistently 
converts kilograms to 
grams and grams to 
kilograms","Little evidence in 
converting kilograms 
to grams and grams to 
kilograms"
6,Add   kilograms and grams,"Adds   kilograms and 
grams s accurately and 
with ease","Adds   kilograms and 
grams accurately","Inconsistently  adds 
kilograms and grams","Little evidence in 
adding kilograms and 
grams"
7,"Subtract   grams  and 
kilograms","Subtracts  kilograms and 
grams accurately and 
with ease","Subtracts  kilograms 
and grams accurately","Inconsistently 
subtracts kilograms 
and grams","Little evidence in 
subtracting  kilograms 
and grams"
8,"Multiply kilograms and 
grams by whole numbers","Multiplies   kilograms 
and grams by whole 
numbers accurately and 
with ease","Multiplies  kilograms 
and grams by whole 
numbers accurately","Inconsistently  
multiplies  kilograms 
and grams by whole 
numbers","Little evidence in 
multiplying kilograms 
and grams by whole 
numbers"
9,"Divide   kilograms and 
grams by whole numbers","Divides  kilograms and 
grams by whole 
numbers  accurately and 
with ease","Divides  kilograms 
and grams by whole 
numbers  accurately","Inconsistently  divides  
kilograms and grams 
by whole numbers","Little evidence in 
dividing  kilograms 
and grams by whole 
numbers"
10,"Use IT devices for 
learning more on mass","Uses IT devices for 
learning more on mass 
efficiently and with ease","Uses IT devices for 
learning more on 
mass  efficiently","Inconsistently uses IT 
devices for learning 
more on mass","Little evidence in 
using IT devices for 
learning more on 
mass"
